file,n_size,difficulty,solved,nodes_expanded,time_seconds,solution_length,reason
3x3/faciles/1.txt,3,faciles,True,102,0.0001,6,OK
3x3/faciles/2.txt,3,faciles,True,633,0.0008,10,OK
3x3/faciles/3.txt,3,faciles,True,74,0.0001,6,OK
3x3/faciles/4.txt,3,faciles,True,644,0.0006,10,OK
3x3/faciles/5.txt,3,faciles,True,440,0.0004,10,OK
3x3/faciles/6.txt,3,faciles,True,843,0.0036,10,OK
3x3/faciles/7.txt,3,faciles,True,632,0.0006,10,OK
3x3/faciles/8.txt,3,faciles,True,483,0.0005,10,OK
3x3/faciles/9.txt,3,faciles,True,463,0.0005,10,OK
3x3/faciles/10.txt,3,faciles,True,275,0.0003,8,OK
3x3/faciles/11.txt,3,faciles,True,699,0.0007,10,OK
3x3/faciles/12.txt,3,faciles,True,675,0.0007,10,OK
3x3/faciles/13.txt,3,faciles,True,702,0.0007,10,OK
3x3/faciles/14.txt,3,faciles,True,432,0.0004,10,OK
3x3/faciles/15.txt,3,faciles,True,843,0.0036,10,OK
3x3/faciles/16.txt,3,faciles,True,698,0.0007,10,OK
3x3/faciles/17.txt,3,faciles,True,513,0.0005,10,OK
3x3/faciles/18.txt,3,faciles,True,236,0.0002,8,OK
3x3/faciles/19.txt,3,faciles,True,523,0.0005,10,OK
3x3/faciles/20.txt,3,faciles,True,812,0.0007,10,OK
3x3/faciles/21.txt,3,faciles,True,545,0.0006,10,OK
3x3/faciles/22.txt,3,faciles,True,527,0.0005,10,OK
3x3/faciles/23.txt,3,faciles,True,645,0.0006,10,OK
3x3/faciles/24.txt,3,faciles,True,424,0.0004,10,OK
3x3/faciles/25.txt,3,faciles,True,448,0.0005,10,OK
3x3/faciles/26.txt,3,faciles,True,112,0.0001,6,OK
3x3/faciles/27.txt,3,faciles,True,545,0.0005,10,OK
3x3/faciles/28.txt,3,faciles,True,462,0.0005,10,OK
3x3/faciles/29.txt,3,faciles,True,441,0.0004,10,OK
3x3/faciles/30.txt,3,faciles,True,632,0.0006,10,OK
3x3/faciles/31.txt,3,faciles,True,621,0.0006,10,OK
